año;municipio;barrios de Barcelona;concepto;estado;valor
2018;Barcelona;la Prosperitat;Índice socioeconómico territorial;;91,7
2018;Barcelona;la Trinitat Nova;Índice socioeconómico territorial;;76,0
2018;Barcelona;Torre Baró;Índice socioeconómico territorial;;74,6
2018;Barcelona;Ciutat Meridiana;Índice socioeconómico territorial;;66,5
2018;Barcelona;Vallbona;Índice socioeconómico territorial;;75,6
2018;Barcelona;la Trinitat Vella;Índice socioeconómico territorial;;73,1
2018;Barcelona;Baró de Viver;Índice socioeconómico territorial;;75,8
2018;Barcelona;el Bon Pastor;Índice socioeconómico territorial;;88,9
2018;Barcelona;Sant Andreu;Índice socioeconómico territorial;;112,9
2018;Barcelona;la Sagrera;Índice socioeconómico territorial;;107,7
2018;Barcelona;el Congrés i els Indians;Índice socioeconómico territorial;;107,3
2018;Barcelona;Navas;Índice socioeconómico territorial;;108,9
2018;Barcelona;el Camp de l'Arpa del Clot;Índice socioeconómico territorial;;110,7
2018;Barcelona;el Clot;Índice socioeconómico territorial;;110,5
2018;Barcelona;el Parc i la Llacuna del Poblenou;Índice socioeconómico territorial;;110,7
2018;Barcelona;la Vila Olímpica del Poblenou;Índice socioeconómico territorial;;127,5
2018;Barcelona;el Poblenou;Índice socioeconómico territorial;;113,6
2018;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;Índice socioeconómico territorial;;116,3
2018;Barcelona;el Besòs i el Maresme;Índice socioeconómico territorial;;76,6
2018;Barcelona;Provençals del Poblenou;Índice socioeconómico territorial;;107,5
2018;Barcelona;Sant Martí de Provençals;Índice socioeconómico territorial;;103,2
2018;Barcelona;la Verneda i la Pau;Índice socioeconómico territorial;;96,2
2018;Barcelona;total;Índice socioeconómico territorial;;108,5
2019;Barcelona;el Raval;Índice socioeconómico territorial;;78,3
2019;Barcelona;el Barri Gòtic;Índice socioeconómico territorial;;84,2
2019;Barcelona;la Barceloneta;Índice socioeconómico territorial;;96,1
2019;Barcelona;Sant Pere, Santa Caterina i la Ribera;Índice socioeconómico territorial;;101,7
2019;Barcelona;el Fort Pienc;Índice socioeconómico territorial;;112,2
2019;Barcelona;la Sagrada Família;Índice socioeconómico territorial;;112,5
2019;Barcelona;la Dreta de l'Eixample;Índice socioeconómico territorial;;122,4
